2017-11-24 15:05:44.296 INFO  NServiceBus.SubscriptionReceiverBehavior Subscribe from testqueue.Subscriber@RIPANPC on message type Messages.RowMessage, Messages, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null
2017-11-24 15:05:45.594 INFO  NServiceBus.Unicast.UnicastBus Shutdown complete.
2017-11-24 15:08:24.262 INFO  DefaultFactory Logging to 'E:\OfficeWork\ResearchNServiceBus\Research-NServiceBus-Publisher\Publisher\App_Data\' with level Info
2017-11-24 15:08:24.443 INFO  NServiceBus.LicenseManager Selected active license from HKEY_LOCAL_MACHINE\SOFTWARE\ParticularSoftware
License Expiration: 12 December 2017

2017-11-24 15:08:24.564 INFO  NServiceBus.Persistence.Sql.Installer Executing 'E:\OfficeWork\ResearchNServiceBus\Research-NServiceBus-Publisher\Publisher\bin\NServiceBus.Persistence.Sql\MsSqlServer\Subscription_Create.sql'
2017-11-24 15:08:24.579 INFO  NServiceBus.Persistence.Sql.Installer Executing 'E:\OfficeWork\ResearchNServiceBus\Research-NServiceBus-Publisher\Publisher\bin\NServiceBus.Persistence.Sql\MsSqlServer\Timeout_Create.sql'
2017-11-24 15:08:24.595 INFO  NServiceBus.PerformanceMonitorUsersInstaller Did not attempt to add user 'RIPANPC\Dell' to group 'Performance Monitor Users' since the process is not running with elevated privileges. Processing will continue. To manually perform this action, run the following command from an admin console:
net localgroup "Performance Monitor Users" "RIPANPC\Dell" /add
2017-11-24 15:08:24.657 WARN  NServiceBus.QueuePermissions Queue [private$\error] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-11-24 15:08:24.661 WARN  NServiceBus.QueuePermissions Queue [private$\error] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-11-24 15:08:24.670 WARN  NServiceBus.QueuePermissions Queue [private$\testqueue.Publisher.Timeouts] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-11-24 15:08:24.673 WARN  NServiceBus.QueuePermissions Queue [private$\testqueue.Publisher.Timeouts] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-11-24 15:08:24.676 WARN  NServiceBus.QueuePermissions Queue [private$\testqueue.Publisher.TimeoutsDispatcher] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-11-24 15:08:24.682 WARN  NServiceBus.QueuePermissions Queue [private$\testqueue.Publisher.TimeoutsDispatcher] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-11-24 15:08:24.686 WARN  NServiceBus.QueuePermissions Queue [private$\testqueue.Publisher.Retries] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-11-24 15:08:24.689 WARN  NServiceBus.QueuePermissions Queue [private$\testqueue.Publisher.Retries] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-11-24 15:08:24.693 WARN  NServiceBus.QueuePermissions Queue [private$\testqueue.Publisher] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-11-24 15:08:24.699 WARN  NServiceBus.QueuePermissions Queue [private$\testqueue.Publisher] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-11-24 15:08:24.702 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-11-24 15:08:24.703 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-11-24 15:08:24.705 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-11-24 15:08:25.884 INFO  NServiceBus.SubscriptionReceiverBehavior Subscribe from testqueue.Subscriber@RIPANPC on message type Messages.RowMessage, Messages, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null
2017-11-24 15:08:25.996 INFO  NServiceBus.Unicast.UnicastBus Initiating shutdown.
2017-11-24 15:08:26.043 INFO  NServiceBus.Unicast.UnicastBus Shutdown complete.
2017-11-24 15:08:57.931 INFO  NServiceBus.LicenseManager Selected active license from HKEY_LOCAL_MACHINE\SOFTWARE\ParticularSoftware
License Expiration: 12 December 2017

2017-11-24 15:08:57.934 INFO  NServiceBus.Persistence.Sql.Installer Executing 'E:\OfficeWork\ResearchNServiceBus\Research-NServiceBus-Publisher\Publisher\bin\NServiceBus.Persistence.Sql\MsSqlServer\Subscription_Create.sql'
2017-11-24 15:08:57.957 INFO  NServiceBus.Persistence.Sql.Installer Executing 'E:\OfficeWork\ResearchNServiceBus\Research-NServiceBus-Publisher\Publisher\bin\NServiceBus.Persistence.Sql\MsSqlServer\Timeout_Create.sql'
2017-11-24 15:08:57.963 INFO  NServiceBus.PerformanceMonitorUsersInstaller Did not attempt to add user 'RIPANPC\Dell' to group 'Performance Monitor Users' since the process is not running with elevated privileges. Processing will continue. To manually perform this action, run the following command from an admin console:
net localgroup "Performance Monitor Users" "RIPANPC\Dell" /add
2017-11-24 15:08:57.975 WARN  NServiceBus.QueuePermissions Queue [private$\error] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-11-24 15:08:57.978 WARN  NServiceBus.QueuePermissions Queue [private$\error] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-11-24 15:08:57.983 WARN  NServiceBus.QueuePermissions Queue [private$\testqueue.Publisher.Timeouts] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-11-24 15:08:57.987 WARN  NServiceBus.QueuePermissions Queue [private$\testqueue.Publisher.Timeouts] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
